Name,degree centrality,closeness centrality,betweenness centrality
ADNP2,0.0005447612130016343,0.0,0.0
ACSF2,0.00045396767750136187,0.0,0.0
ADAM30,9.079353550027238e-05,0.0,0.0
ADAM21,0.00018158707100054475,0.0,0.0
ABCF2,0.00045396767750136187,0.0,0.0
PHF8,0.0003631741420010895,0.0,0.0
ZNF12,9.079353550027238e-05,0.0,0.0
YIPF4,0.00045396767750136187,0.0,0.0
VPS54,0.00045396767750136187,0.0,0.0
TAX1BP1,0.00045396767750136187,0.0,0.0
TBX3,0.0008171418195024514,0.0,0.0
STX7,0.00018158707100054475,0.0,0.0
PIWIL2,9.079353550027238e-05,0.0,0.0
SMA4,0.00027238060650081714,0.0,0.0
SLC6A11,0.0003631741420010895,0.0,0.0
SELENBP1,0.00027238060650081714,0.0,0.0
SCARA3,9.079353550027238e-05,0.0,0.0
RHOBTB3,0.00045396767750136187,0.0,0.0
RIBC2,0.00027238060650081714,0.0,0.0
RFK,0.00018158707100054475,0.0,0.0
RDH11,9.079353550027238e-05,0.0,0.0
PXMP4,0.00045396767750136187,0.0,0.0
PRR15L,9.079353550027238e-05,0.0,0.0
PTPRH,0.0003631741420010895,0.0,0.0
PDZK1,0.00045396767750136187,0.0,0.0
MTMR12,0.0003631741420010895,0.0,0.0
LPIN1,0.00027238060650081714,0.0,0.0
LINC00597,0.00018158707100054475,0.0,0.0
LMCD1,0.00045396767750136187,0.0,0.0
HIGD1A,0.00018158707100054475,0.0,0.0
DENND5B,9.079353550027238e-05,0.0,0.0
FAM127A,9.079353550027238e-05,0.0,0.0
FAM13A,0.00027238060650081714,0.0,0.0
CNTD2,9.079353550027238e-05,0.0,0.0
DEFB126,9.079353550027238e-05,0.0,0.0
CPNE6,0.00045396767750136187,0.0,0.0
CPD,0.00027238060650081714,0.0,0.0
CHPF2,0.00045396767750136187,0.0,0.0
CDC42EP4,0.0003631741420010895,0.0,0.0
C4BPA,0.00027238060650081714,0.0,0.0
DCAF16,0.0008171418195024514,0.0,0.0
CR2,0.0003631741420010895,0.0,0.0
CHL1,0.0005447612130016343,0.0,0.0
CD96,0.00045396767750136187,0.0,0.0
CACNA1C,0.0006355547485019066,0.0,0.0
CCDC88A,0.00018158707100054475,0.0,0.0
ATG13,0.00045396767750136187,0.0,0.0
APLNR,0.0005447612130016343,0.0,0.0
ANKRD34C,0.00045396767750136187,0.0,0.0
TRPC4,0.0003631741420010895,0.0,0.0
TTBK2,0.000726348284002179,0.0,0.0
THSD7A,0.0003631741420010895,0.0,0.0
ST8SIA4,0.00018158707100054475,0.0,0.0
SKAP1,0.00027238060650081714,0.0,0.0
SEMA3D,0.00018158707100054475,0.0,0.0
SETBP1,0.0010895224260032686,9.079353550027238e-05,1.043345093781194e-07
S100G,0.00045396767750136187,0.0,0.0
PPP2R3A,0.001180315961503541,0.0,0.0
NCK2,0.0006355547485019066,0.0,0.0
MYH3,0.00018158707100054475,0.0,0.0
LRTM1,0.0008171418195024514,0.0,0.0
LMBR1L,0.00045396767750136187,0.0,0.0
LDHAL6B,0.00018158707100054475,0.0,0.0
JAM3,0.00027238060650081714,0.0,0.0
GRIK1,0.00018158707100054475,0.0,0.0
FRRS1L,0.0003631741420010895,0.0,0.0
EAPP,0.00045396767750136187,0.0,0.0
DPYSL4,0.0003631741420010895,0.0,0.0
AFF3,0.00045396767750136187,0.0,0.0
FAM134A,0.0008171418195024514,0.0,0.0
DNAH2,0.0006355547485019066,0.0,0.0
DENND4C,0.00018158707100054475,0.0,0.0
DCC,0.00027238060650081714,0.0,0.0
CTRC,0.00018158707100054475,0.0,0.0
COMMD10,0.0003631741420010895,0.0,0.0
CLIP3,0.0006355547485019066,0.0,0.0
AIDA,0.0006355547485019066,0.0,0.0
ANO3,0.00018158707100054475,0.0,0.0
WLS,0.00018158707100054475,0.0,0.0
VCL,0.0008171418195024514,0.0,0.0
VRK1,0.0009079353550027237,0.0,0.0
TIMM9,0.00027238060650081714,0.0,0.0
SSSCA1,0.0005447612130016343,0.0,0.0
SERPINB4,9.079353550027238e-05,0.0,0.0
SLC5A6,0.0005447612130016343,0.0,0.0
RAB40B,0.0003631741420010895,0.0,0.0
PART1,0.0003631741420010895,0.0,0.0
OR1G1,9.079353550027238e-05,0.0,0.0
MPHOSPH9,0.00027238060650081714,0.0,0.0
MAGT1,0.00018158707100054475,0.0,0.0
LSM5,0.0006355547485019066,0.0,0.0
LEFTY1,0.00027238060650081714,0.0,0.0
KANSL2,0.0005447612130016343,0.0,0.0
IDI2-AS1,0.00018158707100054475,0.0,0.0
HECW1,0.00027238060650081714,0.0,0.0
GZMK,0.0003631741420010895,0.0,0.0
GOLGA1,0.0006355547485019066,0.0,0.0
FGF20,0.0009079353550027237,0.0,0.0
NDP,0.0005447612130016343,0.0,0.0
ZNF330,0.00027238060650081714,0.0,0.0
TRPM1,0.00018158707100054475,0.0,0.0
TCP11,0.00027238060650081714,0.0,0.0
