Target,Source,p
CREB1,BRCA1,0.8
CREB1,BDKRB1,0.8
CREB1,BCL2,0.8
CREB1,BCKDHA,0.8
CREB1,B3GAT3,0.8
CREB1,ATP1A1,0.8
CREB3,PRKACA,0.8
CREB3,AQP2,0.8
CREB3,MITF,0.8
CREB3,EP300,0.8
CREB3,GSK3B,0.8
CREB3,PRKACB,0.8
CREB3,PRKACG,0.8
CREB3,PRKX,0.8
CREB3,CREBBP,0.8
CREB3L1,PRKACG,0.8
CREB3L1,PRKX,0.8
CREB3L1,PRKACB,0.8
CREB3L1,PRKACA,0.8
CREB3L1,GSK3B,0.8
CREB3L1,EP300,0.8
CREB3L1,AQP2,0.8
CREB3L1,MITF,0.8
CREB3L1,CREBBP,0.8
CREB3L2,MITF,0.8
CREB3L2,AQP2,0.8
CREBBP,CREB3L1,0.8
CREBBP,CREB3L2,0.8
CREBBP,CTNNB1,0.8
CREBBP,EPAS1,0.8
CREBBP,HIF1A,0.8
CREBBP,LEF1,0.8
CREBBP,PRKACA,0.8
CREBBP,PRKACB,0.8
CREBBP,PRKACG,0.8
CREBBP,PRKX,0.8
CREBBP,RBPJ,0.8
CREBBP,RBPJL,0.8
CREBBP,SMAD2,0.8
CREBBP,SMAD3,0.8
CREBBP,SMAD4,0.8
CREBBP,STAT1,0.8
CREBBP,STAT2,0.8
CREBBP,STAT3,0.8
CREBBP,STAT4,0.8
CREBBP,STAT5A,0.8
CREBBP,STAT5B,0.8
CREBBP,STAT6,0.8
CREBBP,TCF7,0.8
CREBBP,TCF7L1,0.8
CREBBP,TCF7L2,0.8
CREBBP,TP53,0.8
CREBBP,MITF,0.8
CREBBP,CDKN2B,0.8
CREBBP,ATF4,0.8
CREBBP,CAMK4,0.8
CREBBP,CREB1,0.8
CREBBP,CREB3,0.8
CREM,ICAM1,0.8
CRY1,CRY2,0.8
CRY1,NPAS2,0.8
CRY1,PER2,0.8
CRY1,CRY1,0.8
CRY1,CLOCK,0.8
CRY1,CSNK1D,0.8
CRY1,PER3,0.8
CRY1,CSNK1E,0.8
CRY1,ARNTL,0.8
CTBP1,RBPJ,0.8
