cMaxDriver_L,cMaxDriver_B,cMaxDriver_C
HOXB3,TCF7,RXRG
NOTCH3,MAFF,HMGB2
BRD8,SNIP1,ZNF165
ZBTB25,HOXB6,CBX3
PRDM2,HMG20A,HMG20B
TAF4B,PCBD1,CDX4
MEOX2,HDAC5,RELB
PHB2,ATF3,FHL2
POLR2K,AES,RXRB
SSBP3,HNRNPK,MED14
CITED1,TBL1X,GLI1
MECP2,YBX1,SUPT5H
DNMT1,LMO4,UPF1
ZEB2,NFATC3,NFIA
MTA1,POU3F4,SRCAP
IKZF2,HOXB9,PER3
SCMH1,HDAC2,GTF2I
HOXD4,NR4A1,NFKBIB
MAZ,BRF1,CRX
JARID2,PGR,DTX1
MYBL2,NFYB,POLR2L
HOXA3,NFKB1,SOX5
TGIF2,VDR,SIN3B
MCM6,ATF6,TCEA2
POU4F1,FXR2,CHD1
KLF5,ATF7,ZHX1
HOXB2,MAFG,BRD7
SIX2,MEF2C,ISL2
TGFB1I1,GTF3C1,GMEB1
NR1H4,HSF2,IRF2BP1
KLF10,POLR2B,POU2F2
MCM4,CDC5L,TRIM29
TRIB3,FOSB,PQBP1
KDM2A,POLR2C,TSG101
ZBTB7A,RUNX2,TWIST1
POLR1E,ZHX2,IRX4
CNOT6,COIL,SUB1
MTA2,PKNOX1,TAF5
SALL1,SSRP1,PPARA
RNF14,NFATC1,HIST2H2BE
TBPL1,TAF15,NFE2
BHLHE41,DRAP1,LMO3
RORB,MCM7,SOS2
ING1,DACH1,NCOA3
NR2E3,SMARCA2,KLF9
UBE2K,NFATC4,NFIL3
NAA15,NOTCH4,ID4
SIM2,ASCL1,TCEB2
ESRRA,ELF3,BACH2
COPS2,PER2,FOXL1
ONECUT1,NEUROD1,PBX3
HOXC4,NFKBIA,ISL1
HOXA2,MXD1,POU3F1
APEX1,PA2G4,HNF1B
IKZF3,CHAF1A,MYF5
NR4A2,ZIC1,EIF2AK2
MBD3,GCM1,RLIM
GTF2A1,GMEB2,FOXF2
HEYL,NRBF2,ZNF24
MSC,TBX5,JUND
HEXIM1,GATAD2A,RUVBL1
CREB3,GTF2IRD1,EED
SMAD6,TARBP2,BATF
ELK3,NRF1,IRF5
ASCL3,HOXB3,STAT4
HOXB8,NOTCH3,NR1H3
ZFPM2,BRD8,SAFB
HOXD9,PRDM2,SATB2
CREG1,TAF4B,SKI
ORC2,SNAPC5,SREBF2
ESRRG,SMARCC2,SIX1
CEBPG,MECP2,YTHDC1
KDM5B,DNMT1,HIVEP1
FOXH1,NAP1L4,ZRANB2
SAFB2,AIP,SP3
HBP1,MTA1,RORC
TLE3,GTF2A2,TSC22D3
RBM39,MAZ,HOXB4
CEBPD,JARID2,APBB2
ZMYND11,HOXA3,RYBP
HOXD10,TGIF2,LHX2
TSC22D1,ZBTB33,IRF9
HOXA7,MCM6,NKX6-1
LHX1,ZNF467,HIVEP2
TAF6,HTATIP2,PTTG1
NR5A2,CEBPZ,MYF6
HMGB2,PHOX2A,BHLHE40
SRCAP,HOXB2,HOXC8
POLR2L,KHDRBS2,FOXC1
SOX5,SIX2,TRPS1
TCEA2,TGFB1I1,CREB3L4
SIX5,NR1H4,XRCC6
BRD7,MXD3,MATR3
GMEB1,TRIB3,SMARCC1
IRF2BP1,KDM2A,MLX
TWIST1,ZBTB7A,DDB1
IRX4,POLR1E,GABPB1
TAF5,CENPB,TAF10
SOS2,SALL1,MSX1
KLF9,RNF14,MED31
DEDD,KLF11,ZIC3
ID4,TBPL1,ARID5B
FOXL1,BHLHE41,GATAD2B
PBX3,RORB,GTF2E2
MYF5,NR2E3,E2F7
RUVBL1,HIF3A,RBPJ
BATF,UBE2K,ZBTB6
IRF5,NAA15,POLR2G
SATB2,DAB2,RBBP7
YTHDC1,SIM2,LHX3
HIVEP1,ESRRA,CHD8
RORC,ONECUT1,SMAD5
APBB2,HOXC4,NKX2-2
LHX2,HOXA2,TOP2B
IRF9,MYBBP1A,CBFA2T2
HIVEP2,NR4A2,IRF1
MYF6,MBD3,SNRPB
TRPS1,ZNF76,HABP4
CSDE1,PLAGL1,NCOA4
RBBP7,HEYL,HDAC7
NCOA4,MSC,MCM2
HDAC7,HEXIM1,TRERF1
BIN1,TMF1,NR2F1
IFI16,ASCL3,SAP30
HR,SOX3,BIN1
ILF3,ZFPM2,ZNF653
NR2F6,TAF13,IFI16
ING2,ZNF335,POLR2D
SAP30BP,ZNF8,WWP1
TBL1X,TAF1A,GLI2
NFIX,BATF3,TCF7
SOS1,CREG1,HR
ATF6B,DMTF1,ARID4B
SF1,RFX3,MAFF
SERTAD3,ESRRG,ILF3
POU3F4,TFEC,TEF
GATA6,CEBPG,SNIP1
NR1I2,KDM5B,HOXB6
MAML3,HIST1H1B,HMG20A
RUVBL2,SAFB2,NR2F6
SUPT4H1,POU2F3,FOSL2
ZHX2,RBM39,HDAC5
ZBTB32,MYBL1,ATF3
HMGN1,NR2C1,AES
EN2,HOXD10,ING2
HIC1,DR1,HNRNPK
SUPT16H,MKL2,SAP30BP
WBP11,SRRM1,TBL1X
HMGN2,HOXA7,NFIX
HAND1,TAF6,SOS1
RNPS1,NR5A2,ATF6B
PAWR,POLR2F,NFATC3
ZNF451,HMG20B,LMO4
MED17,MED14,SF1
SP100,SRCAP,SERTAD3
VGLL1,RFXANK,POU3F4
GTF3C3,POLR2L,HOXB9
SRSF6,SOX5,NR4A1
ZNF148,GMEB1,BRF1
MED6,IRF2BP1,GATA6
TFAP2B,IRX4,PGR
